Address,Price
"639 E 500 SSalt Lake City, UT","$2,299"
"260 S 500 ESalt Lake City, UT","$1,450"
"260 S 500 ESalt Lake City, UT","$1,700"
"706 E 300 SSalt Lake City, UT","$1,405"
"623 S 600 ESalt Lake City, UT","$1,375"
"545 S 700 ESalt Lake City, UT","$1,639"
"639 E 500 SSalt Lake City, UT","$2,519"
"545 S 700 ESalt Lake City, UT","$2,700"
"130 S 800 ESalt Lake City, UT","$1,549"
"130 S 800 ESalt Lake City, UT","$1,500"
"545 S 700 ESalt Lake City, UT","$1,950"
"625 E 200 S Unit 8Salt Lake City, UT","$1,995"
"935 E 600 SSalt Lake City, UT","$1,525"
"706 E 300 SSalt Lake City, UT","$1,199"
"135 S 700 ESalt Lake City, UT","$1,600"
"706 E 300 SSalt Lake City, UT","$1,249"
"350 S Elizabeth StSalt Lake City, UT","$1,375"
"960 E 100 SSalt Lake City, UT","$2,000"
"1231 E 300 SSalt Lake City, UT",$595
"343 S 500 ESalt Lake City, UT","$1,699"
"448 S 500 ESalt Lake City, UT","$1,000"
"260 S 500 ESalt Lake City, UT","$1,600"
"425 S 1000 ESalt Lake City, UT","$1,400"
"41 S 900 ESalt Lake City, UT","$1,699"
"545 S 700 ESalt Lake City, UT","$1,950"
